alpha,beta,gamma,MOB_CA,STAT_CA,TOT_CA,TOT_CLASHES
-180.0,-90.0,-180.0,459.0,431.0,890.0,1939.0
-180.0,-90.0,-170.0,564.0,549.0,1113.0,2454.0
-180.0,-90.0,-160.0,701.0,673.0,1374.0,3191.0
-180.0,-90.0,-150.0,829.0,829.0,1658.0,3840.0
-180.0,-90.0,-140.0,962.0,912.0,1874.0,4342.0
-180.0,-90.0,-130.0,1138.0,1121.0,2259.0,5326.0
-180.0,-90.0,-120.0,1286.0,1293.0,2579.0,6182.0
-180.0,-90.0,-110.0,1472.0,1502.0,2974.0,7159.0
-180.0,-90.0,-100.0,1555.0,1560.0,3115.0,7234.0
-180.0,-90.0,-90.0,1600.0,1554.0,3154.0,7216.0
-180.0,-90.0,-80.0,1629.0,1578.0,3207.0,7229.0
-180.0,-90.0,-70.0,1727.0,1680.0,3407.0,7782.0
-180.0,-90.0,-60.0,1840.0,1849.0,3689.0,8620.0
-180.0,-90.0,-50.0,2049.0,2042.0,4091.0,9347.0
-180.0,-90.0,-40.0,2228.0,2289.0,4517.0,10504.0
-180.0,-90.0,-30.0,2438.0,2431.0,4869.0,11275.0
-180.0,-90.0,-20.0,2533.0,2548.0,5081.0,11719.0
-180.0,-90.0,-10.0,2741.0,2652.0,5393.0,12421.0
-180.0,-90.0,0.0,2837.0,2770.0,5607.0,12760.0
-180.0,-90.0,10.0,2855.0,2787.0,5642.0,12682.0
-180.0,-90.0,20.0,2894.0,2876.0,5770.0,13365.0
-180.0,-90.0,30.0,2876.0,2837.0,5713.0,13290.0
-180.0,-90.0,40.0,2763.0,2768.0,5531.0,12899.0
-180.0,-90.0,50.0,2682.0,2698.0,5380.0,12558.0
-180.0,-90.0,60.0,2424.0,2386.0,4810.0,11102.0
-180.0,-90.0,70.0,2022.0,2023.0,4045.0,9312.0
-180.0,-90.0,80.0,1671.0,1710.0,3381.0,7826.0
-180.0,-90.0,90.0,1336.0,1348.0,2684.0,6151.0
-180.0,-90.0,100.0,1018.0,984.0,2002.0,4676.0
-180.0,-90.0,110.0,729.0,726.0,1455.0,3262.0
-180.0,-90.0,120.0,404.0,399.0,803.0,1568.0
-180.0,-90.0,130.0,220.0,227.0,447.0,845.0
-180.0,-90.0,140.0,194.0,194.0,388.0,727.0
-180.0,-90.0,150.0,216.0,222.0,438.0,904.0
-180.0,-90.0,160.0,268.0,259.0,527.0,1084.0
-180.0,-90.0,170.0,336.0,328.0,664.0,1389.0
-180.0,-90.0,180.0,459.0,431.0,890.0,1939.0
-180.0,-80.0,-180.0,504.0,496.0,1000.0,2255.0
-180.0,-80.0,-170.0,634.0,617.0,1251.0,2854.0
-180.0,-80.0,-160.0,790.0,747.0,1537.0,3564.0
-180.0,-80.0,-150.0,912.0,886.0,1798.0,4092.0
-180.0,-80.0,-140.0,1055.0,1034.0,2089.0,4741.0
-180.0,-80.0,-130.0,1257.0,1245.0,2502.0,5883.0
-180.0,-80.0,-120.0,1438.0,1438.0,2876.0,6700.0
-180.0,-80.0,-110.0,1540.0,1545.0,3085.0,7398.0
-180.0,-80.0,-100.0,1622.0,1578.0,3200.0,7308.0
-180.0,-80.0,-90.0,1674.0,1598.0,3272.0,7548.0
-180.0,-80.0,-80.0,1676.0,1676.0,3352.0,7583.0
-180.0,-80.0,-70.0,1820.0,1799.0,3619.0,8405.0
-180.0,-80.0,-60.0,1974.0,2050.0,4024.0,9197.0
-180.0,-80.0,-50.0,2181.0,2212.0,4393.0,10083.0
-180.0,-80.0,-40.0,2398.0,2421.0,4819.0,11174.0
-180.0,-80.0,-30.0,2564.0,2569.0,5133.0,12046.0
-180.0,-80.0,-20.0,2675.0,2642.0,5317.0,12231.0
-180.0,-80.0,-10.0,2761.0,2734.0,5495.0,12360.0
-180.0,-80.0,0.0,2791.0,2701.0,5492.0,12393.0
-180.0,-80.0,10.0,2868.0,2745.0,5613.0,12851.0
-180.0,-80.0,20.0,2866.0,2863.0,5729.0,13247.0
-180.0,-80.0,30.0,2893.0,2882.0,5775.0,13506.0
-180.0,-80.0,40.0,2824.0,2784.0,5608.0,13014.0
-180.0,-80.0,50.0,2662.0,2611.0,5273.0,12579.0
-180.0,-80.0,60.0,2245.0,2268.0,4513.0,10256.0
-180.0,-80.0,70.0,1925.0,1944.0,3869.0,8972.0
-180.0,-80.0,80.0,1621.0,1613.0,3234.0,7458.0
-180.0,-80.0,90.0,1426.0,1348.0,2774.0,6589.0
-180.0,-80.0,100.0,1056.0,1032.0,2088.0,4846.0
-180.0,-80.0,110.0,674.0,669.0,1343.0,2984.0
