alpha,beta,gamma,ENZ_CA,SUB_CA,TOT_CA,clashes
-10,-40,-40,116,95,211,325
0,-40,-30,117,101,218,335
0,-50,-30,121,99,220,313
-10,-50,-40,123,97,220,340
-20,-50,-50,120,109,229,424
-10,-30,-30,121,111,232,394
-20,-30,-40,119,117,236,377
-20,-40,-50,119,118,237,365
-10,-60,-50,129,113,242,389
-20,-60,-50,126,116,242,419
10,-50,-20,128,116,244,364
-10,-60,-40,131,117,248,396
40,-60,10,125,124,249,395
-10,-40,-30,137,114,251,428
0,-50,-40,125,126,251,446
-20,-60,-60,123,128,251,411
-20,-40,-40,132,120,252,416
10,-60,-20,131,121,252,434
0,-60,-30,134,120,254,434
40,-60,0,129,125,254,393
-30,-60,-70,129,126,255,443
-10,-30,-40,131,124,255,389
30,-60,0,133,123,256,408
-30,-30,-50,125,131,256,438
-30,-50,-60,135,122,257,483
30,-70,-10,129,128,257,379
-30,-40,-50,132,128,260,456
-20,-70,-60,128,133,261,475
50,-60,20,138,123,261,437
0,-30,-30,130,131,261,438
40,-70,0,129,133,262,394
50,-50,20,137,125,262,483
0,-60,-40,139,123,262,408
60,-60,30,135,129,264,474
10,-50,-30,136,129,265,469
-10,-50,-50,134,131,265,479
40,-70,10,129,136,265,486
30,-60,-10,133,133,266,406
40,-50,10,133,133,266,442
10,-70,-30,138,130,268,413
-10,-70,-50,139,129,268,472
50,-60,10,135,133,268,409
10,-40,-20,144,125,269,411
20,-60,-10,141,129,270,431
60,-50,30,140,130,270,506
10,-60,-30,141,130,271,436
0,-70,-40,136,135,271,446
-20,-20,-40,139,133,272,475
30,-70,0,141,132,273,490
10,-70,-20,138,135,273,531
0,-70,-30,145,128,273,549
-20,-50,-60,133,140,273,494
-160,50,90,132,142,274,492
-10,-70,-40,143,131,274,569
20,-60,-20,139,136,275,436
-170,40,90,134,141,275,432
20,-70,-10,141,134,275,508
20,-70,-20,145,130,275,408
50,-70,10,138,137,275,428
-150,60,80,136,140,276,472
30,-50,0,142,136,278,448
0,-40,-20,152,128,280,488
20,-50,-10,143,137,280,451
-170,20,100,136,147,283,440
-130,50,60,131,152,283,464
-20,-50,-40,150,133,283,517
-30,-60,-60,145,140,285,484
-140,50,70,142,143,285,449
-150,50,80,141,148,289,472
-30,-70,-70,147,143,290,511
-20,-70,-50,147,143,290,596
0,-40,-40,148,142,290,543
10,-40,-30,147,144,291,554
60,-40,30,153,139,292,533
0,-30,-20,153,139,292,538
20,-50,-20,147,145,292,523
-170,50,100,150,143,293,539
-10,-20,-30,146,147,293,550
-40,-60,-80,148,146,294,517
60,-70,20,149,146,295,479
-120,50,50,141,154,295,511
60,-60,20,150,145,295,482
-140,60,70,144,152,296,501
-30,-40,-60,152,144,296,521
50,-70,20,145,151,296,497
-130,40,60,154,143,297,478
-150,40,80,148,149,297,495
10,-30,-20,148,149,297,519
-160,40,90,149,148,297,511
-160,40,80,150,148,298,463
70,-60,40,155,143,298,543
-160,60,90,143,155,298,507
-130,60,60,141,159,300,492
-180,40,100,158,144,302,539
50,-40,20,158,144,302,528
-10,-50,-30,163,139,302,525
20,-80,-20,154,148,302,555
180,40,100,158,144,302,539
-150,30,80,161,142,303,501
-40,-40,-60,155,149,304,559
-140,40,70,151,153,304,480
60,-70,30,147,158,305,537
30,-50,-10,158,147,305,559
20,-40,-10,160,146,306,511
-30,-70,-60,148,158,306,631
-150,50,70,152,154,306,515
30,-40,0,159,150,309,524
40,-50,0,161,148,309,554
10,-80,-30,153,156,309,569
-30,-50,-70,155,155,310,531
70,-50,40,164,146,310,578
-30,-50,-50,167,144,311,562
-20,-30,-50,150,161,311,488
30,-80,-10,156,155,311,562
-30,-20,-40,158,154,312,541
-130,40,50,155,157,312,473
-40,-70,-80,156,156,312,556
-170,30,100,156,157,313,589
-180,50,110,164,150,314,609
-150,40,70,155,159,314,486
180,50,110,164,150,314,609
170,40,110,163,152,315,623
-40,-50,-70,162,153,315,602
50,-50,10,152,163,315,527
-10,-40,-50,161,154,315,576
-120,60,50,150,166,316,511
40,-40,10,162,154,316,554
-170,50,90,154,163,317,562
40,-40,20,164,155,319,556
0,-80,-40,155,165,320,569
-160,30,90,158,162,320,572
-40,-30,-50,164,158,322,620
-170,40,100,166,156,322,627
-40,-60,-70,165,157,322,563
40,-80,0,162,160,322,558
50,-40,30,170,153,323,636
70,-70,30,163,160,323,545
-30,-30,-40,158,165,323,539
-30,-20,-50,163,161,324,550
20,-40,-20,165,159,324,640
-140,40,60,165,159,324,523
-40,-70,-70,159,166,325,645
40,-50,20,164,161,325,567
-120,40,50,163,162,325,574
180,50,100,156,170,326,551
-180,50,100,156,170,326,551
-140,30,70,168,158,326,539
-140,50,60,158,169,327,570
20,-30,-10,166,161,327,612
70,-70,40,156,172,328,591
-40,-30,-60,162,168,330,596
-170,60,100,161,170,331,573
30,-30,0,164,168,332,571
0,-50,-20,174,160,334,576
-10,-80,-50,168,166,334,592
-40,-20,-50,165,170,335,617
60,-50,20,168,167,335,534
50,-80,10,166,171,337,574
40,-30,20,174,163,337,597
50,-50,30,177,162,339,606
-10,-20,-40,168,171,339,602
-40,-40,-70,171,168,339,624
0,-20,-30,173,167,340,617
-180,40,110,175,165,340,717
-50,-70,-90,164,176,340,629
60,-50,40,176,164,340,668
180,40,110,175,165,340,717
30,-60,10,172,168,340,663
30,-40,10,175,165,340,574
40,-60,20,168,173,341,635
-40,-50,-60,174,167,341,630
70,-60,30,176,165,341,546
0,-60,-20,179,162,341,691
20,-30,-20,171,171,342,623
60,-80,20,169,173,342,597
-20,-80,-60,173,170,343,631
-180,10,110,174,170,344,708
180,10,110,174,170,344,708
50,-30,20,170,176,346,616
-20,-30,-30,180,166,346,632
40,-80,10,175,172,347,665
0,-20,-20,177,170,347,655
-10,-60,-30,182,165,347,663
-50,-60,-90,171,176,347,575
-20,-10,-40,177,171,348,682
50,-30,30,181,167,348,669
-50,-40,-70,172,177,349,715
-30,-80,-70,172,177,349,651
20,-60,0,182,167,349,739
30,-80,0,175,175,350,648
10,-80,-20,175,175,350,680
180,60,110,173,177,350,623
70,-40,40,178,172,350,632
180,20,110,175,175,350,644
50,-60,30,176,174,350,650
-180,20,110,175,175,350,644
-180,60,110,173,177,350,623
-20,-40,-60,174,177,351,654
30,-40,-10,176,175,351,689
10,-60,-10,182,169,351,730
-110,50,40,179,172,351,614
60,-40,40,190,161,351,717
60,-30,30,178,173,351,659
-20,-60,-40,184,167,351,690
10,-40,-10,180,172,352,642
80,-70,50,166,186,352,610
-180,30,110,173,180,353,658
60,-60,40,178,175,353,646
-160,20,100,184,169,353,595
80,-70,40,180,173,353,627
-40,-80,-80,175,178,353,669
180,30,110,173,180,353,658
50,-80,20,172,181,353,667
20,-80,-10,175,178,353,661
10,-30,-10,181,173,354,658
-170,10,100,176,178,354,588
-160,50,80,177,178,355,619
30,-30,-10,175,180,355,678
20,-50,0,185,171,356,683
70,-80,30,175,181,356,611
40,-30,10,177,179,356,600
80,-80,40,174,183,357,640
30,-50,10,186,171,357,628
-150,20,90,182,175,357,601
-30,-10,-40,186,171,357,704
60,-30,40,187,170,357,705
170,50,120,176,181,357,694
-50,-50,-80,187,171,358,698
10,-50,-10,182,177,359,665
170,20,110,177,183,360,619
60,-80,30,175,185,360,687
-50,-70,-80,175,185,360,703
-160,70,90,179,181,360,600
-120,40,40,180,181,361,592
-30,-60,-50,184,178,362,719
0,-80,-30,186,176,362,727
-20,-20,-30,186,176,362,663
10,-20,-20,186,178,364,669
30,-30,10,189,175,364,592
50,-70,30,180,184,364,736
-120,50,40,175,190,365,597
160,50,120,181,184,365,670
30,-70,10,183,182,365,754
-130,50,50,172,193,365,593
70,-80,40,178,187,365,712
-50,-60,-80,191,174,365,685
-110,60,40,178,187,365,602
20,-40,0,184,181,365,664
-10,-80,-40,190,175,365,753
-10,-10,-30,182,183,365,739
20,-20,-20,181,185,366,683
-180,30,100,191,175,366,642
40,-20,10,183,183,366,625
180,30,100,191,175,366,642
-40,-40,-50,189,178,367,707
-20,-40,-30,193,174,367,699
40,-70,20,185,182,367,734
10,-30,-30,176,191,367,644
-20,-80,-50,189,179,368,780
90,-70,50,192,176,368,717
160,40,120,189,179,368,721
-50,-80,-90,183,186,369,724
30,-20,0,190,179,369,642
80,-60,50,189,181,370,678
-160,10,100,188,182,370,652
-60,-70,-100,179,191,370,720
-130,30,60,187,183,370,666
-50,-30,-60,186,184,370,729
170,50,110,192,179,371,663
-170,70,100,182,189,371,621
20,-70,0,194,178,372,800
-150,70,80,185,187,372,631
70,-50,30,190,183,373,569
-30,-40,-40,191,182,373,705
-160,20,90,184,189,373,582
90,-80,50,185,189,374,685
40,-40,0,188,186,374,747
10,-70,-10,196,179,375,804
70,-50,50,200,176,376,724
-180,20,100,186,190,376,603
-20,-10,-30,196,180,376,790
180,20,100,186,190,376,603
-150,30,90,192,184,376,714
-40,-50,-80,191,186,377,657
-180,0,110,186,191,377,692
170,30,110,188,189,377,701
180,0,110,186,191,377,692
-30,-80,-60,192,185,377,804
30,-20,-10,184,194,378,696
30,-20,10,192,186,378,657
-160,30,100,196,183,379,734
-150,50,90,187,192,379,670
-50,-50,-70,189,190,379,744
-160,30,80,190,189,379,641
90,-70,60,187,193,380,706
-60,-80,-100,188,192,380,750
0,-70,-20,192,188,380,837
-50,-40,-80,184,196,380,742
170,60,120,189,191,380,709
-10,-70,-30,199,181,380,847
100,-80,60,192,188,380,719
-60,-70,-90,185,195,380,755
20,-20,-10,191,190,381,713
-10,-30,-20,196,186,382,729
-160,50,100,182,201,383,728
170,40,120,197,186,383,825
-110,40,40,192,191,383,717
110,-80,70,197,186,383,729
