alpha,beta,gamma,ENZ_CA,SUB_CA,TOT_CA,clashes
-10,-40,-40,116,95,211,325
0,-40,-30,117,101,218,335
-10,-50,-40,123,97,220,340
0,-50,-30,121,99,220,313
-20,-50,-50,120,109,229,425
-10,-30,-30,121,111,232,394
-20,-30,-40,119,117,236,378
-20,-40,-50,119,118,237,366
-20,-60,-50,126,116,242,419
-10,-60,-50,129,113,242,389
10,-50,-20,128,116,244,364
-10,-60,-40,131,117,248,395
40,-60,10,125,124,249,395
-20,-60,-60,122,128,250,410
0,-50,-40,125,126,251,446
-10,-40,-30,137,114,251,428
10,-60,-20,131,121,252,434
-20,-40,-40,132,120,252,416
0,-60,-30,134,120,254,434
40,-60,0,129,125,254,393
-30,-60,-70,128,126,254,442
-10,-30,-40,131,124,255,389
30,-60,0,133,122,255,406
-30,-30,-50,124,131,255,437
30,-70,-10,129,128,257,379
-30,-50,-60,135,122,257,482
-30,-40,-50,132,128,260,456
-20,-70,-60,128,133,261,475
0,-30,-30,130,131,261,438
50,-60,20,138,123,261,437
50,-50,20,137,125,262,484
0,-60,-40,139,123,262,408
40,-70,0,129,133,262,394
60,-60,30,135,129,264,474
-10,-50,-50,134,131,265,480
40,-70,10,129,136,265,486
10,-50,-30,136,129,265,469
30,-60,-10,133,133,266,405
40,-50,10,133,133,266,442
-10,-70,-50,139,129,268,472
10,-70,-30,138,130,268,412
50,-60,10,135,133,268,409
10,-40,-20,144,125,269,411
20,-60,-10,141,129,270,431
60,-50,30,140,130,270,506
10,-60,-30,141,130,271,435
0,-70,-40,136,135,271,445
-20,-20,-40,139,133,272,476
0,-70,-30,145,128,273,549
-20,-50,-60,133,140,273,494
10,-70,-20,138,135,273,530
30,-70,0,141,132,273,490
-10,-70,-40,143,131,274,569
-160,50,90,132,142,274,492
50,-70,10,138,137,275,428
20,-60,-20,139,136,275,435
20,-70,-10,141,134,275,508
-170,40,90,134,141,275,433
20,-70,-20,145,130,275,408
-150,60,80,136,140,276,472
30,-50,0,142,136,278,448
20,-50,-10,143,137,280,450
0,-40,-20,152,128,280,488
-130,50,60,131,152,283,464
-170,20,100,136,147,283,441
-20,-50,-40,150,133,283,517
-30,-60,-60,145,140,285,484
-140,50,70,142,143,285,449
-150,50,80,140,148,288,471
-20,-70,-50,147,143,290,596
0,-40,-40,148,142,290,542
-30,-70,-70,147,143,290,512
10,-40,-30,147,144,291,553
60,-40,30,153,139,292,533
20,-50,-20,147,145,292,523
0,-30,-20,153,139,292,538
-10,-20,-30,146,147,293,551
-170,50,100,150,143,293,539
-40,-60,-80,148,146,294,517
60,-60,20,150,145,295,482
-120,50,50,141,154,295,511
60,-70,20,149,146,295,479
-30,-40,-60,152,144,296,521
-140,60,70,144,152,296,501
10,-30,-20,148,148,296,517
50,-70,20,145,151,296,497
-130,40,60,154,143,297,477
-150,40,80,148,149,297,495
-160,40,90,149,148,297,511
-160,60,90,143,155,298,506
-160,40,80,150,148,298,463
70,-60,40,155,143,298,542
-130,60,60,141,159,300,493
180,40,100,157,144,301,538
-180,40,100,157,144,301,538
-10,-50,-30,163,139,302,524
20,-80,-20,154,148,302,555
50,-40,20,158,144,302,528
-150,30,80,161,142,303,502
-40,-40,-60,155,149,304,558
-140,40,70,151,153,304,480
60,-70,30,147,158,305,537
30,-50,-10,158,147,305,559
-150,50,70,152,154,306,515
-30,-70,-60,148,158,306,631
20,-40,-10,160,146,306,511
40,-50,0,161,148,309,554
10,-80,-30,153,156,309,569
30,-40,0,159,150,309,524
-20,-30,-50,150,160,310,487
70,-50,40,164,146,310,578
-30,-50,-70,155,155,310,530
30,-80,-10,156,155,311,562
50,-50,10,150,161,311,524
-30,-50,-50,167,144,311,562
-30,-20,-40,158,154,312,540
-40,-70,-80,156,156,312,555
-130,40,50,155,157,312,473
-170,30,100,156,157,313,590
-180,50,110,164,150,314,609
180,50,110,164,150,314,609
-150,40,70,155,159,314,486
-10,-40,-50,161,154,315,576
-40,-50,-70,162,153,315,602
170,40,110,163,152,315,622
-120,60,50,150,166,316,511
40,-40,10,162,154,316,554
-170,50,90,154,163,317,562
40,-40,20,163,155,318,555
-160,30,90,158,162,320,572
0,-80,-40,155,165,320,569
40,-80,0,162,160,322,558
-170,40,100,166,156,322,627
-40,-60,-70,165,157,322,563
-40,-30,-50,164,158,322,620
-30,-30,-40,158,165,323,540
70,-70,30,163,160,323,545
50,-40,30,170,153,323,636
-30,-20,-50,163,161,324,550
-140,40,60,165,159,324,523
20,-40,-20,165,159,324,640
-40,-70,-70,159,166,325,645
-120,40,50,163,162,325,574
180,50,100,156,170,326,551
-140,30,70,168,158,326,539
40,-50,20,164,162,326,568
-180,50,100,156,170,326,551
-140,50,60,158,169,327,570
20,-30,-10,166,161,327,612
70,-70,40,156,172,328,592
-40,-30,-60,162,168,330,596
-170,60,100,161,170,331,573
30,-30,0,164,168,332,572
-10,-80,-50,168,166,334,592
0,-50,-20,174,160,334,575
60,-50,20,168,167,335,534
-40,-20,-50,165,170,335,617
40,-30,20,174,163,337,597
50,-80,10,166,171,337,574
50,-50,30,177,162,339,606
180,40,110,174,165,339,717
-10,-20,-40,168,171,339,602
-40,-40,-70,171,168,339,624
-180,40,110,174,165,339,717
60,-50,40,176,164,340,668
0,-20,-30,173,167,340,618
30,-60,10,172,168,340,663
30,-40,10,175,165,340,575
-50,-70,-90,164,176,340,629
0,-60,-20,179,162,341,691
70,-60,30,176,165,341,546
40,-60,20,168,173,341,635
-40,-50,-60,174,167,341,630
20,-30,-20,171,171,342,623
60,-80,20,169,173,342,597
-180,10,110,174,170,344,708
180,10,110,174,170,344,708
-20,-80,-60,174,170,344,632
50,-30,20,170,176,346,616
0,-20,-20,177,170,347,655
-20,-30,-30,181,166,347,633
40,-80,10,175,172,347,665
-10,-60,-30,182,165,347,661
-50,-60,-90,171,176,347,575
-20,-10,-40,177,171,348,682
50,-30,30,181,167,348,669
20,-60,0,182,167,349,739
-30,-80,-70,172,177,349,651
-50,-40,-70,172,177,349,716
-180,20,110,175,175,350,644
30,-80,0,175,175,350,648
180,60,110,173,177,350,623
50,-60,30,176,174,350,650
-180,60,110,173,177,350,623
70,-40,40,178,172,350,631
10,-80,-20,175,175,350,680
180,20,110,175,175,350,644
-110,50,40,179,172,351,614
60,-40,40,190,161,351,718
-20,-60,-40,184,167,351,689
60,-30,30,178,173,351,659
30,-40,-10,176,175,351,690
-20,-40,-60,174,177,351,654
10,-60,-10,182,169,351,730
20,-80,-10,174,178,352,660
10,-40,-10,180,172,352,643
-180,30,110,173,180,353,658
50,-80,20,172,181,353,667
-160,20,100,184,169,353,593
60,-60,40,178,175,353,646
180,30,110,173,180,353,658
-40,-80,-80,175,178,353,668
80,-70,40,180,173,353,627
80,-70,50,167,186,353,610
-170,10,100,176,178,354,588
10,-30,-10,181,173,354,658
30,-30,-10,175,180,355,678
-160,50,80,177,178,355,618
20,-50,0,185,171,356,682
80,-80,40,173,183,356,638
70,-80,30,175,181,356,611
40,-30,10,177,180,357,601
60,-30,40,187,170,357,706
-30,-10,-40,186,171,357,704
170,50,120,176,181,357,694
30,-50,10,186,171,357,628
-150,20,90,182,175,357,601
-50,-50,-80,187,171,358,698
-50,-70,-80,175,184,359,702
10,-50,-10,182,177,359,663
170,20,110,177,183,360,619
60,-80,30,175,185,360,687
-160,70,90,179,181,360,600
-120,40,40,180,181,361,592
-30,-60,-50,184,178,362,719
-20,-20,-30,186,176,362,663
0,-80,-30,186,176,362,727
40,-20,10,182,181,363,623
30,-30,10,189,175,364,592
50,-70,30,180,184,364,736
-110,60,40,178,187,365,601
70,-80,40,178,187,365,711
-10,-10,-30,182,183,365,739
-10,-80,-40,190,175,365,752
160,50,120,181,184,365,670
10,-20,-20,186,179,365,670
-130,50,50,172,193,365,593
30,-70,10,183,182,365,754
-50,-60,-80,191,174,365,685
20,-40,0,184,181,365,663
180,30,100,191,175,366,642
-180,30,100,191,175,366,642
40,-70,20,184,182,366,733
-120,50,40,176,190,366,598
-20,-40,-30,192,174,366,698
20,-20,-20,181,185,366,683
10,-30,-30,176,191,367,644
-40,-40,-50,189,178,367,707
-20,-80,-50,189,179,368,780
90,-70,50,192,176,368,717
160,40,120,189,179,368,721
-60,-70,-100,178,191,369,719
30,-20,0,190,179,369,642
-50,-80,-90,183,186,369,725
-170,70,100,182,188,370,620
-50,-30,-60,186,184,370,729
-160,10,100,188,182,370,652
80,-60,50,189,181,370,678
-130,30,60,187,183,370,667
170,50,110,192,179,371,663
20,-70,0,194,178,372,800
-150,70,80,185,187,372,631
-160,20,90,184,189,373,583
-30,-40,-40,191,182,373,705
90,-80,50,185,189,374,685
70,-50,30,191,183,374,570
40,-40,0,188,186,374,747
10,-70,-10,196,179,375,805
-150,30,90,192,184,376,714
-20,-10,-30,196,180,376,789
180,20,100,186,190,376,603
70,-50,50,200,176,376,724
-180,20,100,186,190,376,603
-180,0,110,186,191,377,691
180,0,110,186,191,377,691
-40,-50,-80,191,186,377,658
170,30,110,188,189,377,701
-30,-80,-60,192,185,377,803
30,-20,10,192,186,378,657
30,-20,-10,184,194,378,696
-160,30,80,190,189,379,641
-150,50,90,187,192,379,670
-50,-50,-70,189,190,379,744
-160,30,100,196,183,379,735
-50,-40,-80,184,196,380,742
90,-70,60,187,193,380,706
170,60,120,189,191,380,710
100,-80,60,192,188,380,719
0,-70,-20,192,188,380,836
-60,-80,-100,188,192,380,750
-10,-70,-30,199,181,380,847
-60,-70,-90,185,195,380,755
20,-20,-10,191,190,381,714
-10,-30,-20,196,186,382,729
110,-80,70,197,186,383,729
-110,40,40,192,191,383,716
-160,50,100,182,201,383,729
170,40,120,197,186,383,825
