alpha,beta,gamma,MOB_CA,STAT_CA,TOT_CA,TOT_CLASHES
-180.0,-90.0,-180.0,198.0,205.0,403.0,811.0
-180.0,-90.0,-135.0,61.0,56.0,117.0,241.0
-180.0,-90.0,-90.0,160.0,160.0,320.0,601.0
-180.0,-90.0,-45.0,1010.0,1021.0,2031.0,4400.0
-180.0,-90.0,0.0,1393.0,1415.0,2808.0,6232.0
-180.0,-90.0,45.0,1297.0,1387.0,2684.0,5995.0
-180.0,-90.0,90.0,734.0,784.0,1518.0,3338.0
-180.0,-90.0,135.0,443.0,487.0,930.0,1993.0
-180.0,-90.0,180.0,198.0,205.0,403.0,811.0
-180.0,-45.0,-180.0,127.0,128.0,255.0,526.0
-180.0,-45.0,-135.0,101.0,98.0,199.0,423.0
-180.0,-45.0,-90.0,591.0,620.0,1211.0,2589.0
-180.0,-45.0,-45.0,1307.0,1361.0,2668.0,6115.0
-180.0,-45.0,0.0,1492.0,1560.0,3052.0,6789.0
-180.0,-45.0,45.0,1295.0,1335.0,2630.0,6087.0
-180.0,-45.0,90.0,687.0,753.0,1440.0,3112.0
-180.0,-45.0,135.0,383.0,449.0,832.0,1821.0
-180.0,-45.0,180.0,127.0,128.0,255.0,526.0
-180.0,0.0,-180.0,59.0,63.0,122.0,249.0
-180.0,0.0,-135.0,166.0,177.0,343.0,675.0
-180.0,0.0,-90.0,801.0,856.0,1657.0,3824.0
-180.0,0.0,-45.0,1364.0,1438.0,2802.0,6447.0
-180.0,0.0,0.0,1420.0,1486.0,2906.0,6561.0
-180.0,0.0,45.0,967.0,973.0,1940.0,4313.0
-180.0,0.0,90.0,535.0,568.0,1103.0,2346.0
-180.0,0.0,135.0,356.0,408.0,764.0,1544.0
-180.0,0.0,180.0,59.0,63.0,122.0,249.0
-180.0,45.0,-180.0,14.0,18.0,32.0,39.0
-180.0,45.0,-135.0,129.0,165.0,294.0,540.0
-180.0,45.0,-90.0,614.0,620.0,1234.0,2711.0
-180.0,45.0,-45.0,1258.0,1321.0,2579.0,5679.0
-180.0,45.0,0.0,1226.0,1279.0,2505.0,5559.0
-180.0,45.0,45.0,755.0,758.0,1513.0,3335.0
-180.0,45.0,90.0,475.0,498.0,973.0,2103.0
-180.0,45.0,135.0,223.0,238.0,461.0,916.0
-180.0,45.0,180.0,14.0,18.0,32.0,39.0
-180.0,90.0,-180.0,12.0,15.0,27.0,34.0
-180.0,90.0,-135.0,92.0,95.0,187.0,333.0
-180.0,90.0,-90.0,548.0,551.0,1099.0,2239.0
-180.0,90.0,-45.0,1195.0,1281.0,2476.0,5553.0
-180.0,90.0,0.0,1333.0,1398.0,2731.0,6245.0
-180.0,90.0,45.0,912.0,981.0,1893.0,3972.0
-180.0,90.0,90.0,450.0,475.0,925.0,2044.0
-180.0,90.0,135.0,119.0,122.0,241.0,367.0
-180.0,90.0,180.0,12.0,15.0,27.0,34.0
-135.0,-90.0,-180.0,443.0,487.0,930.0,1993.0
-135.0,-90.0,-135.0,198.0,205.0,403.0,811.0
-135.0,-90.0,-90.0,61.0,56.0,117.0,241.0
-135.0,-90.0,-45.0,160.0,160.0,320.0,601.0
-135.0,-90.0,0.0,1010.0,1021.0,2031.0,4400.0
-135.0,-90.0,45.0,1393.0,1415.0,2808.0,6232.0
-135.0,-90.0,90.0,1297.0,1387.0,2684.0,5995.0
-135.0,-90.0,135.0,734.0,784.0,1518.0,3338.0
-135.0,-90.0,180.0,443.0,487.0,930.0,1993.0
-135.0,-45.0,-180.0,467.0,504.0,971.0,2083.0
-135.0,-45.0,-135.0,174.0,173.0,347.0,644.0
-135.0,-45.0,-90.0,183.0,182.0,365.0,732.0
-135.0,-45.0,-45.0,350.0,340.0,690.0,1452.0
-135.0,-45.0,0.0,799.0,786.0,1585.0,3319.0
-135.0,-45.0,45.0,1256.0,1249.0,2505.0,5588.0
-135.0,-45.0,90.0,988.0,1007.0,1995.0,4508.0
-135.0,-45.0,135.0,635.0,616.0,1251.0,2803.0
-135.0,-45.0,180.0,467.0,504.0,971.0,2083.0
-135.0,0.0,-180.0,172.0,185.0,357.0,723.0
-135.0,0.0,-135.0,251.0,257.0,508.0,977.0
-135.0,0.0,-90.0,728.0,793.0,1521.0,3362.0
-135.0,0.0,-45.0,993.0,998.0,1991.0,4576.0
-135.0,0.0,0.0,800.0,829.0,1629.0,3631.0
-135.0,0.0,45.0,673.0,667.0,1340.0,2879.0
-135.0,0.0,90.0,578.0,595.0,1173.0,2549.0
-135.0,0.0,135.0,319.0,327.0,646.0,1299.0
-135.0,0.0,180.0,172.0,185.0,357.0,723.0
-135.0,45.0,-180.0,79.0,86.0,165.0,303.0
-135.0,45.0,-135.0,512.0,566.0,1078.0,2519.0
-135.0,45.0,-90.0,1014.0,1075.0,2089.0,4431.0
-135.0,45.0,-45.0,1391.0,1514.0,2905.0,6573.0
-135.0,45.0,0.0,826.0,875.0,1701.0,3700.0
-135.0,45.0,45.0,600.0,616.0,1216.0,2790.0
-135.0,45.0,90.0,293.0,306.0,599.0,1177.0
-135.0,45.0,135.0,74.0,64.0,138.0,212.0
-135.0,45.0,180.0,79.0,86.0,165.0,303.0
-135.0,90.0,-180.0,92.0,95.0,187.0,333.0
-135.0,90.0,-135.0,548.0,551.0,1099.0,2239.0
-135.0,90.0,-90.0,1195.0,1281.0,2476.0,5553.0
-135.0,90.0,-45.0,1333.0,1398.0,2731.0,6245.0
-135.0,90.0,0.0,912.0,981.0,1893.0,3972.0
-135.0,90.0,45.0,450.0,475.0,925.0,2044.0
-135.0,90.0,90.0,119.0,122.0,241.0,367.0
-135.0,90.0,135.0,12.0,15.0,27.0,34.0
-135.0,90.0,180.0,92.0,95.0,187.0,333.0
-90.0,-90.0,-180.0,734.0,784.0,1518.0,3338.0
-90.0,-90.0,-135.0,443.0,487.0,930.0,1993.0
-90.0,-90.0,-90.0,198.0,205.0,403.0,811.0
-90.0,-90.0,-45.0,61.0,56.0,117.0,241.0
-90.0,-90.0,0.0,160.0,160.0,320.0,601.0
-90.0,-90.0,45.0,1010.0,1021.0,2031.0,4400.0
-90.0,-90.0,90.0,1393.0,1415.0,2808.0,6232.0
-90.0,-90.0,135.0,1297.0,1387.0,2684.0,5995.0
-90.0,-90.0,180.0,734.0,784.0,1518.0,3338.0
-90.0,-45.0,-180.0,790.0,808.0,1598.0,3479.0
-90.0,-45.0,-135.0,612.0,666.0,1278.0,2857.0
-90.0,-45.0,-90.0,390.0,440.0,830.0,1752.0
-90.0,-45.0,-45.0,270.0,269.0,539.0,1103.0
-90.0,-45.0,0.0,229.0,220.0,449.0,863.0
-90.0,-45.0,45.0,443.0,490.0,933.0,1976.0
-90.0,-45.0,90.0,997.0,1052.0,2049.0,4559.0
-90.0,-45.0,135.0,859.0,873.0,1732.0,3783.0
-90.0,-45.0,180.0,790.0,808.0,1598.0,3479.0
-90.0,0.0,-180.0,533.0,550.0,1083.0,2301.0
-90.0,0.0,-135.0,752.0,771.0,1523.0,3422.0
-90.0,0.0,-90.0,763.0,800.0,1563.0,3499.0
-90.0,0.0,-45.0,653.0,704.0,1357.0,3046.0
-90.0,0.0,0.0,526.0,557.0,1083.0,2395.0
-90.0,0.0,45.0,349.0,342.0,691.0,1511.0
-90.0,0.0,90.0,219.0,205.0,424.0,815.0
-90.0,0.0,135.0,309.0,296.0,605.0,1276.0
-90.0,0.0,180.0,533.0,550.0,1083.0,2301.0
-90.0,45.0,-180.0,600.0,596.0,1196.0,2706.0
-90.0,45.0,-135.0,999.0,1033.0,2032.0,4554.0
-90.0,45.0,-90.0,1321.0,1339.0,2660.0,6062.0
-90.0,45.0,-45.0,949.0,968.0,1917.0,4238.0
-90.0,45.0,0.0,616.0,630.0,1246.0,2768.0
-90.0,45.0,45.0,325.0,358.0,683.0,1407.0
-90.0,45.0,90.0,52.0,47.0,99.0,147.0
-90.0,45.0,135.0,97.0,101.0,198.0,355.0
-90.0,45.0,180.0,600.0,596.0,1196.0,2706.0
-90.0,90.0,-180.0,548.0,551.0,1099.0,2239.0
-90.0,90.0,-135.0,1195.0,1281.0,2476.0,5553.0
-90.0,90.0,-90.0,1333.0,1398.0,2731.0,6245.0
-90.0,90.0,-45.0,912.0,981.0,1893.0,3972.0
-90.0,90.0,0.0,450.0,475.0,925.0,2044.0
-90.0,90.0,45.0,119.0,122.0,241.0,367.0
-90.0,90.0,90.0,12.0,15.0,27.0,34.0
-90.0,90.0,135.0,92.0,95.0,187.0,333.0
-90.0,90.0,180.0,548.0,551.0,1099.0,2239.0
-45.0,-90.0,-180.0,1297.0,1387.0,2684.0,5995.0
-45.0,-90.0,-135.0,734.0,784.0,1518.0,3338.0
-45.0,-90.0,-90.0,443.0,487.0,930.0,1993.0
-45.0,-90.0,-45.0,198.0,205.0,403.0,811.0
-45.0,-90.0,0.0,61.0,56.0,117.0,241.0
-45.0,-90.0,45.0,160.0,160.0,320.0,601.0
-45.0,-90.0,90.0,1010.0,1021.0,2031.0,4400.0
-45.0,-90.0,135.0,1393.0,1415.0,2808.0,6232.0
-45.0,-90.0,180.0,1297.0,1387.0,2684.0,5995.0
-45.0,-45.0,-180.0,1113.0,1151.0,2264.0,5222.0
-45.0,-45.0,-135.0,949.0,946.0,1895.0,4359.0
-45.0,-45.0,-90.0,664.0,685.0,1349.0,3019.0
-45.0,-45.0,-45.0,403.0,440.0,843.0,1744.0
-45.0,-45.0,0.0,145.0,140.0,285.0,522.0
-45.0,-45.0,45.0,127.0,123.0,250.0,427.0
-45.0,-45.0,90.0,713.0,737.0,1450.0,3150.0
-45.0,-45.0,135.0,1291.0,1312.0,2603.0,6082.0
-45.0,-45.0,180.0,1113.0,1151.0,2264.0,5222.0
-45.0,0.0,-180.0,1104.0,1147.0,2251.0,4951.0
-45.0,0.0,-135.0,1129.0,1140.0,2269.0,5270.0
-45.0,0.0,-90.0,915.0,948.0,1863.0,4322.0
-45.0,0.0,-45.0,519.0,547.0,1066.0,2240.0
-45.0,0.0,0.0,328.0,350.0,678.0,1432.0
-45.0,0.0,45.0,82.0,77.0,159.0,248.0
-45.0,0.0,90.0,254.0,255.0,509.0,1058.0
-45.0,0.0,135.0,1055.0,1093.0,2148.0,5119.0
-45.0,0.0,180.0,1104.0,1147.0,2251.0,4951.0
-45.0,45.0,-180.0,1179.0,1233.0,2412.0,5307.0
-45.0,45.0,-135.0,1359.0,1479.0,2838.0,6455.0
-45.0,45.0,-90.0,1105.0,1193.0,2298.0,5275.0
-45.0,45.0,-45.0,581.0,601.0,1182.0,2653.0
-45.0,45.0,0.0,322.0,356.0,678.0,1562.0
-45.0,45.0,45.0,33.0,32.0,65.0,105.0
-45.0,45.0,90.0,82.0,89.0,171.0,283.0
-45.0,45.0,135.0,674.0,709.0,1383.0,3048.0
-45.0,45.0,180.0,1179.0,1233.0,2412.0,5307.0
-45.0,90.0,-180.0,1195.0,1281.0,2476.0,5553.0
-45.0,90.0,-135.0,1333.0,1398.0,2731.0,6245.0
-45.0,90.0,-90.0,912.0,981.0,1893.0,3972.0
-45.0,90.0,-45.0,450.0,475.0,925.0,2044.0
-45.0,90.0,0.0,119.0,122.0,241.0,367.0
-45.0,90.0,45.0,12.0,15.0,27.0,34.0
-45.0,90.0,90.0,92.0,95.0,187.0,333.0
-45.0,90.0,135.0,548.0,551.0,1099.0,2239.0
-45.0,90.0,180.0,1195.0,1281.0,2476.0,5553.0
