alpha,beta,gamma,ENZ_CA,SUB_CA,TOT_CA,clashes
135,0,180,11,9,20,15
135,0,-180,11,9,20,15
180,90,180,12,15,27,34
135,90,-135,12,15,27,34
-180,90,-180,12,15,27,34
-180,90,180,12,15,27,34
90,90,-90,12,15,27,34
45,90,-45,12,15,27,34
0,90,0,12,15,27,34
-135,90,135,12,15,27,34
-90,90,90,12,15,27,34
-45,90,45,12,15,27,34
180,90,-180,12,15,27,34
-180,45,180,14,18,32,39
180,45,180,14,18,32,39
-180,45,-180,14,18,32,39
180,45,-180,14,18,32,39
-45,45,45,33,32,65,105
0,45,0,33,35,68,101
90,-45,135,36,37,73,117
45,-45,90,37,41,78,149
0,0,45,41,39,80,136
45,0,45,40,48,88,107
135,45,-135,46,48,94,144
0,45,45,50,48,98,145
0,-45,45,53,46,99,194
-90,45,90,52,47,99,147
135,-45,-180,58,50,108,201
135,-45,180,58,50,108,201
0,-90,45,61,56,117,241
135,-90,-180,61,56,117,241
-135,-90,-90,61,56,117,241
135,-90,180,61,56,117,241
90,-90,135,61,56,117,241
-90,-90,-45,61,56,117,241
180,-90,-135,61,56,117,241
-45,-90,0,61,56,117,241
45,-90,90,61,56,117,241
-180,-90,-135,61,56,117,241
45,45,0,56,62,118,168
180,0,180,59,63,122,249
-180,0,180,59,63,122,249
180,0,-180,59,63,122,249
-180,0,-180,59,63,122,249
135,45,180,58,65,123,168
135,45,-180,58,65,123,168
90,0,135,62,63,125,182
-135,45,135,74,64,138,212
45,45,-45,72,75,147,257
-45,0,45,82,77,159,248
90,45,-90,70,90,160,304
45,-45,45,75,88,163,279
-135,45,-180,79,86,165,303
-135,45,180,79,86,165,303
-45,45,90,82,89,171,283
90,45,-135,82,91,173,347
-90,90,135,92,95,187,333
135,90,-90,92,95,187,333
0,90,45,92,95,187,333
45,90,0,92,95,187,333
90,90,-45,92,95,187,333
-180,90,-135,92,95,187,333
-135,90,180,92,95,187,333
-45,90,90,92,95,187,333
180,90,-135,92,95,187,333
-135,90,-180,92,95,187,333
135,-45,135,90,103,193,310
90,0,90,90,103,193,304
-90,45,135,97,101,198,355
-180,-45,-135,101,98,199,423
180,-45,-135,101,98,199,423
90,-45,90,94,115,209,442
45,0,0,107,108,215,330
45,45,-90,120,117,237,458
90,90,-135,119,122,241,367
-45,90,0,119,122,241,367
-135,90,90,119,122,241,367
180,90,135,119,122,241,367
135,90,180,119,122,241,367
-180,90,135,119,122,241,367
135,90,-180,119,122,241,367
0,90,-45,119,122,241,367
45,90,-90,119,122,241,367
-90,90,45,119,122,241,367
-45,-45,45,127,123,250,427
-180,-45,180,127,128,255,526
-180,-45,-180,127,128,255,526
180,-45,180,127,128,255,526
180,-45,-180,127,128,255,526
-45,-45,0,145,140,285,522
180,45,-135,129,165,294,540
-180,45,-135,129,165,294,540
-45,-90,45,160,160,320,601
-180,-90,-90,160,160,320,601
135,-90,-135,160,160,320,601
180,-90,-90,160,160,320,601
-135,-90,-45,160,160,320,601
0,-90,90,160,160,320,601
90,-90,180,160,160,320,601
90,-90,-180,160,160,320,601
45,-90,135,160,160,320,601
-90,-90,0,160,160,320,601
-180,0,-135,166,177,343,675
180,0,-135,166,177,343,675
-135,-45,-135,174,173,347,644
0,-45,90,178,176,354,690
-135,0,-180,172,185,357,723
-135,0,180,172,185,357,723
-135,-45,-90,183,182,365,732
0,0,0,186,198,384,739
-180,-90,-180,198,205,403,811
45,-90,45,198,205,403,811
-135,-90,-135,198,205,403,811
-90,-90,-90,198,205,403,811
135,-90,135,198,205,403,811
0,-90,0,198,205,403,811
-45,-90,-45,198,205,403,811
90,-90,90,198,205,403,811
-180,-90,180,198,205,403,811
180,-90,-180,198,205,403,811
180,-90,180,198,205,403,811
-90,0,90,219,205,424,815
0,-45,0,202,235,437,963
135,0,135,226,222,448,908
-90,-45,0,229,220,449,863
-180,45,135,223,238,461,916
180,45,135,223,238,461,916
90,45,-180,235,244,479,951
90,45,180,235,244,479,951
90,0,180,220,261,481,1001
90,0,-180,220,261,481,1001
90,45,-45,240,242,482,1005
45,-45,135,249,236,485,947
90,0,45,236,265,501,936
-135,0,-135,251,257,508,977
-45,0,90,254,255,509,1058
45,0,90,243,277,520,1005
135,45,-90,254,275,529,1075
-90,-45,-45,270,269,539,1103
135,0,-135,245,303,548,1102
90,-45,-180,286,303,589,1251
90,-45,180,286,303,589,1251
-135,45,90,293,306,599,1177
-90,0,135,309,296,605,1276
135,-45,90,303,313,616,1199
45,-45,0,302,319,621,1390
90,-45,45,301,333,634,1359
-135,0,135,319,327,646,1299
45,0,-45,319,331,650,1295
90,45,135,348,318,666,1300
-45,0,0,328,350,678,1432
-45,45,0,322,356,678,1562
0,45,-45,342,337,679,1474
-90,45,45,325,358,683,1407
-135,-45,-45,350,340,690,1452
-90,0,45,349,342,691,1511
135,0,90,344,357,701,1403
180,0,135,356,408,764,1544
-180,0,135,356,408,764,1544
0,0,90,366,425,791,1753
135,45,135,365,429,794,1762
-90,-45,-90,390,440,830,1752
180,-45,135,383,449,832,1821
-180,-45,135,383,449,832,1821
-45,-45,-45,403,440,843,1744
135,-45,-135,417,456,873,1836
45,45,-135,433,472,905,1827
-45,90,-45,450,475,925,2044
-135,90,45,450,475,925,2044
45,90,-135,450,475,925,2044
-180,90,90,450,475,925,2044
0,90,-90,450,475,925,2044
180,90,90,450,475,925,2044
90,90,180,450,475,925,2044
-90,90,0,450,475,925,2044
90,90,-180,450,475,925,2044
135,90,135,450,475,925,2044
45,-90,0,443,487,930,1993
-180,-90,135,443,487,930,1993
180,-90,135,443,487,930,1993
90,-90,45,443,487,930,1993
-45,-90,-90,443,487,930,1993
-90,-90,-135,443,487,930,1993
-135,-90,-180,443,487,930,1993
0,-90,-45,443,487,930,1993
135,-90,90,443,487,930,1993
-135,-90,180,443,487,930,1993
-90,-45,45,443,490,933,1976
45,0,-90,445,498,943,2126
0,0,-45,460,485,945,2067
-135,-45,-180,467,504,971,2083
-135,-45,180,467,504,971,2083
-180,45,90,475,498,973,2103
180,45,90,475,498,973,2103
0,-45,-45,490,537,1027,2342
0,45,-90,517,544,1061,2205
-45,0,-45,519,547,1066,2240
-135,45,-135,512,566,1078,2519
90,0,-90,543,535,1078,2447
-90,0,180,533,550,1083,2301
-90,0,0,526,557,1083,2395
-90,0,-180,533,550,1083,2301
135,45,90,509,580,1089,2339
90,0,-135,531,562,1093,2373
45,0,135,530,565,1095,2204
-90,90,-180,548,551,1099,2239
45,90,45,548,551,1099,2239
-45,90,135,548,551,1099,2239
180,90,-90,548,551,1099,2239
-180,90,-90,548,551,1099,2239
135,90,-45,548,551,1099,2239
-135,90,-135,548,551,1099,2239
90,90,0,548,551,1099,2239
0,90,90,548,551,1099,2239
-90,90,180,548,551,1099,2239
-180,0,90,535,568,1103,2346
180,0,90,535,568,1103,2346
90,-45,0,544,580,1124,2416
45,45,45,537,623,1160,2731
90,0,0,564,599,1163,2486
-135,0,90,578,595,1173,2549
-45,45,-45,581,601,1182,2653
90,0,-45,585,610,1195,2690
-90,45,-180,600,596,1196,2706
-90,45,180,600,596,1196,2706
-180,-45,-90,591,620,1211,2589
180,-45,-90,591,620,1211,2589
-135,45,45,600,616,1216,2790
180,45,-90,614,620,1234,2711
-180,45,-90,614,620,1234,2711
-90,45,0,616,630,1246,2768
135,-45,45,621,629,1250,2694
-135,-45,135,635,616,1251,2803
135,0,-90,623,653,1276,2866
-90,-45,-135,612,666,1278,2857
-135,0,45,673,667,1340,2879
-45,-45,-90,664,685,1349,3019
-90,0,-45,653,704,1357,3046
0,45,90,653,705,1358,3036
90,45,0,653,723,1376,2999
-45,45,135,674,709,1383,3048
180,-45,90,687,753,1440,3112
-180,-45,90,687,753,1440,3112
-45,-45,90,713,737,1450,3150
45,-45,-45,708,758,1466,3325
-180,45,45,755,758,1513,3335
180,45,45,755,758,1513,3335
-135,-90,135,734,784,1518,3338
-90,-90,-180,734,784,1518,3338
0,-90,-90,734,784,1518,3338
180,-90,90,734,784,1518,3338
-180,-90,90,734,784,1518,3338
135,-90,45,734,784,1518,3338
45,-90,-45,734,784,1518,3338
90,-90,0,734,784,1518,3338
-45,-90,-135,734,784,1518,3338
-90,-90,180,734,784,1518,3338
-135,0,-90,728,793,1521,3362
-90,0,-135,752,771,1523,3422
0,0,-90,754,785,1539,3521
-90,0,-90,763,800,1563,3499
-135,-45,0,799,786,1585,3319
45,0,-135,777,809,1586,3492
-90,-45,180,790,808,1598,3479
-90,-45,-180,790,808,1598,3479
135,45,-45,795,824,1619,3514
-135,0,0,800,829,1629,3631
180,0,-90,801,856,1657,3824
-180,0,-90,801,856,1657,3824
0,-45,-90,845,831,1676,3769
-135,45,0,826,875,1701,3700
-90,-45,135,859,873,1732,3783
90,45,90,851,901,1752,3739
-45,0,-90,915,948,1863,4322
135,0,45,891,982,1873,4211
90,90,135,912,981,1893,3972
-90,90,-45,912,981,1893,3972
-180,90,45,912,981,1893,3972
-45,90,-90,912,981,1893,3972
0,90,-135,912,981,1893,3972
135,90,90,912,981,1893,3972
45,90,-180,912,981,1893,3972
-135,90,0,912,981,1893,3972
45,90,180,912,981,1893,3972
180,90,45,912,981,1893,3972
-45,-45,-135,949,946,1895,4359
-90,45,-45,949,968,1917,4238
180,0,45,967,973,1940,4313
-180,0,45,967,973,1940,4313
45,45,180,926,1018,1944,4173
45,45,-180,926,1018,1944,4173
0,-45,135,928,1028,1956,4321
45,-45,-90,965,999,1964,4242
-135,0,-45,993,998,1991,4576
-135,-45,90,988,1007,1995,4508
-180,-90,-45,1010,1021,2031,4400
-45,-90,90,1010,1021,2031,4400
135,-90,-90,1010,1021,2031,4400
90,-90,-135,1010,1021,2031,4400
-135,-90,0,1010,1021,2031,4400
45,-90,180,1010,1021,2031,4400
0,-90,135,1010,1021,2031,4400
-90,-90,45,1010,1021,2031,4400
180,-90,-45,1010,1021,2031,4400
45,-90,-180,1010,1021,2031,4400
-90,45,-135,999,1033,2032,4554
-90,-45,90,997,1052,2049,4559
45,0,-180,1001,1062,2063,4590
45,0,180,1001,1062,2063,4590
45,45,90,1008,1062,2070,4610
45,-45,180,1005,1069,2074,4666
45,-45,-180,1005,1069,2074,4666
-135,45,-90,1014,1075,2089,4431
45,45,135,1022,1111,2133,4683
-45,0,135,1055,1093,2148,5119
0,0,-135,1107,1104,2211,4889
0,0,135,1095,1146,2241,5051
-45,0,-180,1104,1147,2251,4951
-45,0,180,1104,1147,2251,4951
0,-45,-135,1113,1145,2258,5002
135,45,45,1113,1147,2260,4999
-45,-45,180,1113,1151,2264,5222
-45,-45,-180,1113,1151,2264,5222
-45,0,-135,1129,1140,2269,5270
90,-45,-45,1133,1145,2278,5153
-45,45,-90,1105,1193,2298,5275
90,45,45,1117,1194,2311,5197
90,-45,-135,1111,1202,2313,5339
135,0,-45,1135,1187,2322,5194
0,45,135,1138,1200,2338,5383
135,-45,-90,1138,1223,2361,5351
-45,45,-180,1179,1233,2412,5307
-45,45,180,1179,1233,2412,5307
90,-45,-90,1181,1241,2422,5384
180,90,-45,1195,1281,2476,5553
-90,90,-135,1195,1281,2476,5553
135,90,0,1195,1281,2476,5553
0,90,135,1195,1281,2476,5553
90,90,45,1195,1281,2476,5553
-180,90,-45,1195,1281,2476,5553
-45,90,180,1195,1281,2476,5553
-45,90,-180,1195,1281,2476,5553
45,90,90,1195,1281,2476,5553
-135,90,-90,1195,1281,2476,5553
0,-45,180,1229,1258,2487,5581
0,-45,-180,1229,1258,2487,5581
-180,45,0,1226,1279,2505,5559
-135,-45,45,1256,1249,2505,5588
180,45,0,1226,1279,2505,5559
0,0,180,1236,1279,2515,5588
0,0,-180,1236,1279,2515,5588
0,45,-135,1225,1298,2523,5573
135,45,0,1229,1327,2556,5733
-180,45,-45,1258,1321,2579,5679
180,45,-45,1258,1321,2579,5679
45,-45,-135,1274,1308,2582,5809
0,45,-180,1268,1321,2589,5716
0,45,180,1268,1321,2589,5716
-45,-45,135,1291,1312,2603,6082
180,-45,45,1295,1335,2630,6087
-180,-45,45,1295,1335,2630,6087
-90,45,-90,1321,1339,2660,6062
180,-45,-45,1307,1361,2668,6115
-180,-45,-45,1307,1361,2668,6115
-180,-90,45,1297,1387,2684,5995
90,-90,-45,1297,1387,2684,5995
-135,-90,90,1297,1387,2684,5995
45,-90,-90,1297,1387,2684,5995
-45,-90,180,1297,1387,2684,5995
180,-90,45,1297,1387,2684,5995
0,-90,-135,1297,1387,2684,5995
-90,-90,135,1297,1387,2684,5995
135,-90,0,1297,1387,2684,5995
-45,-90,-180,1297,1387,2684,5995
135,0,0,1321,1396,2717,6104
0,90,-180,1333,1398,2731,6245
45,90,135,1333,1398,2731,6245
0,90,180,1333,1398,2731,6245
90,90,90,1333,1398,2731,6245
-90,90,-90,1333,1398,2731,6245
-45,90,-135,1333,1398,2731,6245
135,90,45,1333,1398,2731,6245
180,90,0,1333,1398,2731,6245
-135,90,-45,1333,1398,2731,6245
-180,90,0,1333,1398,2731,6245
135,-45,0,1329,1413,2742,5981
135,-45,-45,1331,1424,2755,6154
-180,0,-45,1364,1438,2802,6447
180,0,-45,1364,1438,2802,6447
0,-90,180,1393,1415,2808,6232
-45,-90,135,1393,1415,2808,6232
45,-90,-135,1393,1415,2808,6232
90,-90,-90,1393,1415,2808,6232
0,-90,-180,1393,1415,2808,6232
-180,-90,0,1393,1415,2808,6232
180,-90,0,1393,1415,2808,6232
-135,-90,45,1393,1415,2808,6232
135,-90,-45,1393,1415,2808,6232
-90,-90,90,1393,1415,2808,6232
-45,45,-135,1359,1479,2838,6455
-135,45,-45,1391,1514,2905,6573
-180,0,0,1420,1486,2906,6561
180,0,0,1420,1486,2906,6561
-180,-45,0,1492,1560,3052,6789
180,-45,0,1492,1560,3052,6789
